Havaintoasema,Vuosi,Kuukausi,Päivä,Paisteaika (s)
Lappeenranta Konnunsuo,2022,5,7,35535
Lappeenranta Konnunsuo,2022,5,8,37370
Lappeenranta Konnunsuo,2022,5,9,42605
Lappeenranta Konnunsuo,2022,5,10,41695
Lappeenranta Konnunsuo,2022,5,11,6690
Lappeenranta Konnunsuo,2022,5,12,3250
Lappeenranta Konnunsuo,2022,5,13,27545
Lappeenranta Konnunsuo,2022,5,14,35405
Lappeenranta Konnunsuo,2022,5,15,13820
Lappeenranta Konnunsuo,2022,5,16,1995
Lappeenranta Konnunsuo,2022,5,17,1210
Lappeenranta Konnunsuo,2022,5,18,25440
Lappeenranta Konnunsuo,2022,5,19,37905
Lappeenranta Konnunsuo,2022,5,20,55330
Lappeenranta Konnunsuo,2022,5,21,58170
Lappeenranta Konnunsuo,2022,5,22,54025
Lappeenranta Konnunsuo,2022,5,23,28570
Lappeenranta Konnunsuo,2022,5,24,59530
Lappeenranta Konnunsuo,2022,5,25,58980
Lappeenranta Konnunsuo,2022,5,26,535
Lappeenranta Konnunsuo,2022,5,27,0
Lappeenranta Konnunsuo,2022,5,28,21370
Lappeenranta Konnunsuo,2022,5,29,14560
Lappeenranta Konnunsuo,2022,5,30,16290
Lappeenranta Konnunsuo,2022,5,31,8855
Lappeenranta Konnunsuo,2022,6,1,46170
Lappeenranta Konnunsuo,2022,6,2,10310
Lappeenranta Konnunsuo,2022,6,3,22305
Lappeenranta Konnunsuo,2022,6,4,10785
Lappeenranta Konnunsuo,2022,6,5,14760
Lappeenranta Konnunsuo,2022,6,6,61470
Lappeenranta Konnunsuo,2022,6,7,62000
Lappeenranta Konnunsuo,2022,6,8,18170
Lappeenranta Konnunsuo,2022,6,9,29690
Lappeenranta Konnunsuo,2022,6,10,41645
Lappeenranta Konnunsuo,2022,6,11,46990
Lappeenranta Konnunsuo,2022,6,12,34715
Lappeenranta Konnunsuo,2022,6,13,51755
Lappeenranta Konnunsuo,2022,6,14,14290
Lappeenranta Konnunsuo,2022,6,15,0
Lappeenranta Konnunsuo,2022,6,16,5625
Lappeenranta Konnunsuo,2022,6,17,510
Lappeenranta Konnunsuo,2022,6,18,29080
Lappeenranta Konnunsuo,2022,6,19,18265
Lappeenranta Konnunsuo,2022,6,20,14670
Lappeenranta Konnunsuo,2022,6,21,51105
Lappeenranta Konnunsuo,2022,6,22,52785
Lappeenranta Konnunsuo,2022,6,23,37740
Lappeenranta Konnunsuo,2022,6,24,62295
Lappeenranta Konnunsuo,2022,6,25,61370
Lappeenranta Konnunsuo,2022,6,26,62225
Lappeenranta Konnunsuo,2022,6,27,60520
Lappeenranta Konnunsuo,2022,6,28,45030
Lappeenranta Konnunsuo,2022,6,29,61920
Lappeenranta Konnunsuo,2022,6,30,62125
Lappeenranta Konnunsuo,2022,7,1,60595
Lappeenranta Konnunsuo,2022,7,2,52965
Lappeenranta Konnunsuo,2022,7,3,14535
Lappeenranta Konnunsuo,2022,7,4,54785
Lappeenranta Konnunsuo,2022,7,5,25995
Lappeenranta Konnunsuo,2022,7,6,41990
Lappeenranta Konnunsuo,2022,7,7,37400
Lappeenranta Konnunsuo,2022,7,8,44885
Lappeenranta Konnunsuo,2022,7,9,13575
Lappeenranta Konnunsuo,2022,7,10,17140
Lappeenranta Konnunsuo,2022,7,11,1155
Lappeenranta Konnunsuo,2022,7,12,29270
Lappeenranta Konnunsuo,2022,7,13,40935
Lappeenranta Konnunsuo,2022,7,14,27875
Lappeenranta Konnunsuo,2022,7,15,44635
Lappeenranta Konnunsuo,2022,7,16,35050
Lappeenranta Konnunsuo,2022,7,17,14910
Lappeenranta Konnunsuo,2022,7,18,15955
Lappeenranta Konnunsuo,2022,7,19,18730
Lappeenranta Konnunsuo,2022,7,20,57715
Lappeenranta Konnunsuo,2022,7,21,56930
Lappeenranta Konnunsuo,2022,7,22,54565
Lappeenranta Konnunsuo,2022,7,23,26395
Lappeenranta Konnunsuo,2022,7,24,0
Lappeenranta Konnunsuo,2022,7,25,28510
Lappeenranta Konnunsuo,2022,7,26,7765
Lappeenranta Konnunsuo,2022,7,27,17225
Lappeenranta Konnunsuo,2022,7,28,12720
Lappeenranta Konnunsuo,2022,7,29,11585
Lappeenranta Konnunsuo,2022,7,30,150
Lappeenranta Konnunsuo,2022,7,31,30830
Lappeenranta Konnunsuo,2022,8,1,34815
Lappeenranta Konnunsuo,2022,8,2,17590
Lappeenranta Konnunsuo,2022,8,3,47615
Lappeenranta Konnunsuo,2022,8,4,50405
Lappeenranta Konnunsuo,2022,8,5,52560
Lappeenranta Konnunsuo,2022,8,6,24355
Lappeenranta Konnunsuo,2022,8,7,38200
Lappeenranta Konnunsuo,2022,8,8,24355
Lappeenranta Konnunsuo,2022,8,9,45885
Lappeenranta Konnunsuo,2022,8,10,46935
Lappeenranta Konnunsuo,2022,8,11,44200
Lappeenranta Konnunsuo,2022,8,12,35075
Lappeenranta Konnunsuo,2022,8,13,46515
Lappeenranta Konnunsuo,2022,8,14,43285
Lappeenranta Konnunsuo,2022,8,15,49270
Lappeenranta Konnunsuo,2022,8,16,45145
Lappeenranta Konnunsuo,2022,8,17,45035
Lappeenranta Konnunsuo,2022,8,18,10825
Lappeenranta Konnunsuo,2022,8,19,41805
Lappeenranta Konnunsuo,2022,8,20,47615
Lappeenranta Konnunsuo,2022,8,21,20995
Lappeenranta Konnunsuo,2022,8,22,13890
Lappeenranta Konnunsuo,2022,8,23,17395
Lappeenranta Konnunsuo,2022,8,24,25640
Lappeenranta Konnunsuo,2022,8,25,475
Lappeenranta Konnunsuo,2022,8,26,80
Lappeenranta Konnunsuo,2022,8,27,23230
Lappeenranta Konnunsuo,2022,8,28,29655
Lappeenranta Konnunsuo,2022,8,29,6495
Lappeenranta Konnunsuo,2022,8,30,21825
Lappeenranta Konnunsuo,2022,8,31,0
Lappeenranta Konnunsuo,2022,9,1,4560
Lappeenranta Konnunsuo,2022,9,2,16990
Lappeenranta Konnunsuo,2022,9,3,17575
Lappeenranta Konnunsuo,2022,9,4,3495
Lappeenranta Konnunsuo,2022,9,5,9115
Lappeenranta Konnunsuo,2022,9,6,1985
Lappeenranta Konnunsuo,2022,9,7,16175
Lappeenranta Konnunsuo,2022,9,8,19155
Lappeenranta Konnunsuo,2022,9,9,15390
Lappeenranta Konnunsuo,2022,9,10,34850
Lappeenranta Konnunsuo,2022,9,11,43565
Lappeenranta Konnunsuo,2022,9,12,40095
Lappeenranta Konnunsuo,2022,9,13,9010
Lappeenranta Konnunsuo,2022,9,14,0
Lappeenranta Konnunsuo,2022,9,15,0
Lappeenranta Konnunsuo,2022,9,16,3845
Lappeenranta Konnunsuo,2022,9,17,4170
Lappeenranta Konnunsuo,2022,9,18,13480
Lappeenranta Konnunsuo,2022,9,19,700
Lappeenranta Konnunsuo,2022,9,20,2515
Lappeenranta Konnunsuo,2022,9,21,2090
Lappeenranta Konnunsuo,2022,9,22,10890
Lappeenranta Konnunsuo,2022,9,23,10315
Lappeenranta Konnunsuo,2022,9,24,2295
Lappeenranta Konnunsuo,2022,9,25,0
Lappeenranta Konnunsuo,2022,9,26,305
Lappeenranta Konnunsuo,2022,9,27,5235
Lappeenranta Konnunsuo,2022,9,28,1370
Lappeenranta Konnunsuo,2022,9,29,0
Lappeenranta Konnunsuo,2022,9,30,15
Lappeenranta Konnunsuo,2022,10,1,30255
Lappeenranta Konnunsuo,2022,10,2,19355
Lappeenranta Konnunsuo,2022,10,3,4370
Lappeenranta Konnunsuo,2022,10,4,80
Lappeenranta Konnunsuo,2022,10,5,0
Lappeenranta Konnunsuo,2022,10,6,105
Lappeenranta Konnunsuo,2022,10,7,19495
Lappeenranta Konnunsuo,2022,10,8,0
Lappeenranta Konnunsuo,2022,10,9,31640
Lappeenranta Konnunsuo,2022,10,10,4900
Lappeenranta Konnunsuo,2022,10,11,1605
Lappeenranta Konnunsuo,2022,10,12,23750
Lappeenranta Konnunsuo,2022,10,13,26930
Lappeenranta Konnunsuo,2022,10,14,0
Lappeenranta Konnunsuo,2022,10,15,0
Lappeenranta Konnunsuo,2022,10,16,0
Lappeenranta Konnunsuo,2022,10,17,4240
Lappeenranta Konnunsuo,2022,10,18,770
Lappeenranta Konnunsuo,2022,10,19,5680
Lappeenranta Konnunsuo,2022,10,20,220
Lappeenranta Konnunsuo,2022,10,21,175
Lappeenranta Konnunsuo,2022,10,22,0
Lappeenranta Konnunsuo,2022,10,23,1810
Lappeenranta Konnunsuo,2022,10,24,25075
Lappeenranta Konnunsuo,2022,10,25,22545
Lappeenranta Konnunsuo,2022,10,26,0
Lappeenranta Konnunsuo,2022,10,27,0
Lappeenranta Konnunsuo,2022,10,28,0
Lappeenranta Konnunsuo,2022,10,29,0
Lappeenranta Konnunsuo,2022,10,30,25545
Lappeenranta Konnunsuo,2022,10,31,24850
Lappeenranta Konnunsuo,2022,11,1,35
Lappeenranta Konnunsuo,2022,11,2,0
Lappeenranta Konnunsuo,2022,11,3,0
Lappeenranta Konnunsuo,2022,11,4,0
Lappeenranta Konnunsuo,2022,11,5,0
Lappeenranta Konnunsuo,2022,11,6,0
Lappeenranta Konnunsuo,2022,11,7,0
Lappeenranta Konnunsuo,2022,11,8,0
Lappeenranta Konnunsuo,2022,11,9,0
Lappeenranta Konnunsuo,2022,11,10,1305
Lappeenranta Konnunsuo,2022,11,11,0
Lappeenranta Konnunsuo,2022,11,12,12535
Lappeenranta Konnunsuo,2022,11,13,570
Lappeenranta Konnunsuo,2022,11,14,0
Lappeenranta Konnunsuo,2022,11,15,0
Lappeenranta Konnunsuo,2022,11,16,0
Lappeenranta Konnunsuo,2022,11,17,1425
Lappeenranta Konnunsuo,2022,11,18,0
Lappeenranta Konnunsuo,2022,11,19,10285
Lappeenranta Konnunsuo,2022,11,20,0
Lappeenranta Konnunsuo,2022,11,21,0
Lappeenranta Konnunsuo,2022,11,22,0
Lappeenranta Konnunsuo,2022,11,23,0
Lappeenranta Konnunsuo,2022,11,24,0
Lappeenranta Konnunsuo,2022,11,25,0
Lappeenranta Konnunsuo,2022,11,26,25
Lappeenranta Konnunsuo,2022,11,27,0
Lappeenranta Konnunsuo,2022,11,28,0
Lappeenranta Konnunsuo,2022,11,29,0
Lappeenranta Konnunsuo,2022,11,30,0
Lappeenranta Konnunsuo,2022,12,1,0
Lappeenranta Konnunsuo,2022,12,2,0
Lappeenranta Konnunsuo,2022,12,3,3230
Lappeenranta Konnunsuo,2022,12,4,0
Lappeenranta Konnunsuo,2022,12,5,0
Lappeenranta Konnunsuo,2022,12,6,0
Lappeenranta Konnunsuo,2022,12,7,0
Lappeenranta Konnunsuo,2022,12,8,0
Lappeenranta Konnunsuo,2022,12,9,0
Lappeenranta Konnunsuo,2022,12,10,0
Lappeenranta Konnunsuo,2022,12,11,0
Lappeenranta Konnunsuo,2022,12,12,0
Lappeenranta Konnunsuo,2022,12,13,0
Lappeenranta Konnunsuo,2022,12,14,315
Lappeenranta Konnunsuo,2022,12,15,0
Lappeenranta Konnunsuo,2022,12,16,9975
Lappeenranta Konnunsuo,2022,12,17,0
Lappeenranta Konnunsuo,2022,12,18,0
Lappeenranta Konnunsuo,2022,12,19,2305
Lappeenranta Konnunsuo,2022,12,20,0
Lappeenranta Konnunsuo,2022,12,21,0
Lappeenranta Konnunsuo,2022,12,22,0
Lappeenranta Konnunsuo,2022,12,23,0
Lappeenranta Konnunsuo,2022,12,24,0
Lappeenranta Konnunsuo,2022,12,25,13845
Lappeenranta Konnunsuo,2022,12,26,0
Lappeenranta Konnunsuo,2022,12,27,0
Lappeenranta Konnunsuo,2022,12,28,500
Lappeenranta Konnunsuo,2022,12,29,0
Lappeenranta Konnunsuo,2022,12,30,0
Lappeenranta Konnunsuo,2022,12,31,0
